set,name,foil,ck,mkm
Alara Reborn,Colossal Might,TRUE,"0,07","0,14"
Theros,Colossus of Akros,FALSE,"0,16","0,09"
Commander 2011,Comet Storm,FALSE,"0,21","0,13"
Worldwake,Comet Storm,FALSE,"0,21","0,18"
Commander 2011,Command Tower,FALSE,"0,17","0,36"
Amonkhet,Commit // Memory,FALSE,"0,08","0,09"
Ravnica: City of Guilds,Compulsive Research,TRUE,"0,64","1,12"
Chronicles,Concordant Crossroads,FALSE,"6,57","5,63"
Magic 2011,Condemn,FALSE,"0,05","0,02"
Fifth Dawn,Condescend,TRUE,"4,66","5,31"
Battle for Zendikar,Conduit of Ruin,FALSE,"0,08","0,02"
Planeshift,Confound,TRUE,"0,38","0,45"
Commander 2016,Conqueror's Flail,FALSE,"3,39","2,66"
Zendikar,Conqueror's Pledge,FALSE,"0,08","0,06"
Mercadian Masques,Conspiracy,FALSE,"1,53","0,63"
Duel Decks: Zendikar vs. Eldrazi,Consume the Meek,FALSE,"0,08","0,09"
Alliances,Contagion,FALSE,"0,04","0,10"
Scars of Mirrodin,Contagion Clasp,TRUE,"1,04","0,90"
Duel Decks: Elspeth vs. Tezzeret,Contagion Clasp,FALSE,"0,08","0,03"
Commander 2011,Conundrum Sphinx,FALSE,"0,08","0,08"
Urza's Saga,Copper Gnomes,FALSE,"1,10","1,13"
Revised Edition,Copy Artifact,FALSE,"9,53","8,78"
Ravnica: City of Guilds,Copy Enchantment,TRUE,"5,51","5,40"
Shards of Alara,Corpse Connoisseur,TRUE,"0,05","0,21"
Legions,Corpse Harvester,FALSE,"0,04","0,02"
Commander 2016,Corpsejack Menace,FALSE,"0,42","0,13"
Duel Decks: Divine vs. Demonic,Corrupt,FALSE,"0,05","0,02"
Duel Decks: Divine vs. Demonic,Corrupt,FALSE,"0,05","0,02"
Zendikar,Cosi's Trickster,FALSE,"0,10","0,18"
Conspiracy,Council's Judgment,FALSE,"3,39","4,73"
Coldsnap,Counterbalance,FALSE,"1,57","2,69"
Return to Ravnica,Counterflux,FALSE,"0,20","0,09"
Eternal Masters,Counterspell,FALSE,"0,42","0,23"
Fourth Edition,Counterspell,FALSE,"0,44","0,45"
Ice Age,Counterspell,FALSE,"0,21","0,36"
Tempest,Counterspell,FALSE,"0,22","0,32"
Mercadian Masques,Counterspell,FALSE,"0,25","0,27"
Conflux,Countersquall,FALSE,"1,27","2,06"
Morningtide,Countryside Crusher,FALSE,"0,21","0,09"
Onslaught,Cover of Darkness,FALSE,"3,81","3,15"
Amonkhet,Cradle of the Accursed,TRUE,"0,05","0,02"
Commander 2013,Cradle of Vitality,FALSE,"0,13","0,14"
Shards of Alara,Cradle of Vitality,FALSE,"0,21","0,14"
Modern Masters 2015,Cranial Plating,TRUE,"1,53","2,25"
Modern Masters 2015,Cranial Plating,FALSE,"0,16","0,13"
Fifth Dawn,Cranial Plating,FALSE,"0,17","0,09"
Urza's Saga,Crater Hellion,FALSE,"0,08","0,09"
Modern Masters 2017,Craterhoof Behemoth,FALSE,"7,63","8,06"
Mirrodin Besieged,Creeping Corrosion,FALSE,"0,13","0,77"
Worldwake,Creeping Tar Pit,FALSE,"11,86","11,67"
Commander 2011,Crescendo of War,FALSE,"0,25","0,23"
Lorwyn,Crib Swap,FALSE,"0,13","0,08"
Torment,Crippling Fatigue,TRUE,"0,07","0,14"
Apocalypse,Cromat,TRUE,"8,47","9,00"
Urza's Legacy,Crop Rotation,FALSE,"0,34","0,81"
Planeshift,Crosis's Catacombs,FALSE,"0,28","0,08"
Invasion,"Crosis, the Purger",TRUE,"12,71","18,00"
Innistrad,Crossway Vampire,TRUE,"0,07","0,05"
Shards of Alara,Crucible of Fire,FALSE,"0,25","0,26"
Fifth Dawn,Crucible of Worlds,FALSE,"30,51","27,68"
Shards of Alara,Cruel Ultimatum,FALSE,"0,08","0,02"
Modern Masters 2017,Crumbling Necropolis,TRUE,"0,38","0,14"
Shards of Alara,Crumbling Necropolis,FALSE,"0,04","0,09"
Duel Decks: Elspeth vs. Tezzeret,Crusade,FALSE,"0,08","0,09"
Zendikar,Crypt of Agadeem,FALSE,"0,32","0,29"
Visions,Crypt Rats,FALSE,"0,07","0,35"
Amonkhet,Cryptic Serpent,TRUE,"0,38","0,02"
Mirrodin Besieged,Cryptoplasm,FALSE,"0,14","0,13"
Mirrodin,Crystal Shard,FALSE,"0,28","0,02"
Commander 2016,Crystalline Crawler,FALSE,"1,69","1,79"
Stronghold,Crystalline Sliver,FALSE,"1,69","2,66"
Magic 2011,Cultivate,FALSE,"0,28","0,26"
Judgment,Cunning Wish,FALSE,"2,75","3,15"
Innistrad,Curse of Death's Hold,FALSE,"0,17","0,09"
Dark Ascension,Curse of Echoes,FALSE,"0,08","0,09"
Dark Ascension,Curse of Misfortunes,FALSE,"0,08","0,05"
Innistrad,Curse of Stalked Prey,FALSE,"0,08","0,09"
Theros,Curse of the Swine,FALSE,"0,08","0,09"
Tempest,Cursed Scroll,FALSE,"1,69","3,42"
Mirage,Cursed Totem,FALSE,"1,27","1,08"
Classic Sixth Edition,Cursed Totem,FALSE,"0,55","1,13"
Conspiracy,Custodi Squire,TRUE,"0,89","0,11"
Eternal Masters,Dack Fayden,FALSE,"6,78","8,99"
Future Sight,Dakmor Salvage,FALSE,"0,76","0,68"
Commander 2011,"Damia, Sage of Stone",FALSE,"5,42","0,41"
Urza's Legacy,Damping Engine,TRUE,"0,75","2,70"
Mirrodin,Damping Matrix,FALSE,"0,08","0,02"
Commander 2016,"Daretti, Scrap Savant",FALSE,"1,27","0,99"
Mirage,Daring Apprentice,FALSE,"0,07","0,14"
Gatecrash,Daring Skyjek,TRUE,"0,07","0,02"
Ravnica: City of Guilds,Dark Confidant,FALSE,"25,42","23,63"
Coldsnap,Dark Depths,FALSE,"22,88","23,36"
Avacyn Restored,Dark Impostor,FALSE,"0,08","0,23"
Magic 2014,Dark Prophecy,FALSE,"0,17","0,09"
Duel Decks: Divine vs. Demonic,Dark Ritual,FALSE,"0,08","0,45"
Fifth Edition,Dark Ritual,FALSE,"0,08","0,27"
Tempest,Dark Ritual,FALSE,"0,08","0,23"
Urza's Saga,Dark Ritual,FALSE,"0,04","0,27"
Legions,Dark Supplicant,TRUE,"0,17","0,22"
Duel Decks: Elspeth vs. Tezzeret,Darksteel Citadel,FALSE,"0,16","0,13"
Modern Masters 2015,Darksteel Citadel,FALSE,"0,04","0,02"
Darksteel,Darksteel Citadel,FALSE,"0,14","0,05"
Magic 2010,Darksteel Colossus,FALSE,"2,75","2,51"
Commander 2011,Darksteel Ingot,FALSE,"0,05","0,02"
Innistrad,Darkthicket Wolf,TRUE,"0,07","0,08"
Odyssey,Darkwater Catacombs,TRUE,"6,78","8,99"
Lorwyn,Dauntless Dourbark,TRUE,"2,71","3,87"
Alara Reborn,Dauntless Escort,FALSE,"0,28","0,32"
Tempest,Dauthi Mercenary,FALSE,"0,05","0,03"
Planar Chaos,Dawn Charm,FALSE,"0,21","0,02"
Rise of the Eldrazi,Dawnglare Invoker,TRUE,"0,17","0,18"
Zendikar,Day of Judgment,FALSE,"1,48","0,90"
Eternal Masters,Daze,TRUE,"3,39","8,01"
Nemesis,Daze,FALSE,"0,32","1,01"
Return to Ravnica,Deadbridge Goliath,FALSE,"0,08","0,02"
Modern Masters 2017,Deadeye Navigator,FALSE,"0,64","0,05"
Avacyn Restored,Deadeye Navigator,TRUE,"3,39","2,25"
Avacyn Restored,Deadeye Navigator,FALSE,"0,42","0,18"
Alara Reborn,Deadshot Minotaur,TRUE,"0,13","0,32"
Alara Reborn,Deadshot Minotaur,FALSE,"0,04","0,09"
Planar Chaos,Deadwood Treefolk,TRUE,"0,64","1,22"
Shards of Alara,Death Baron,FALSE,"11,86","11,70"
Tempest,Death Pits of Rath,FALSE,"0,14","0,24"
Eventide,Deathbringer Liege,TRUE,"10,59","14,85"
Eventide,Deathbringer Liege,FALSE,"6,36","6,64"
Alara Reborn,Deathbringer Thoctar,FALSE,"0,08","0,07"
Gatecrash,Deathcult Rogue,TRUE,"0,08","0,09"
Duel Decks: Garruk vs. Liliana,Deathgreeter,FALSE,"0,07","0,02"
Rise of the Eldrazi,Deathless Angel,TRUE,"2,03","3,59"
Conspiracy,Deathrender,FALSE,"0,81","0,53"
Lorwyn,Deathrender,FALSE,"0,76","0,50"
Return to Ravnica,Deathrite Shaman,FALSE,"1,27","2,97"
Weatherlight,Debt of Loyalty,FALSE,"2,12","2,68"
Dragon's Maze,Debt to the Deathless,FALSE,"0,05","0,00"
Eldritch Moon,Decimator of the Provinces,FALSE,"0,25","0,34"
Commander 2013,Decree of Pain,FALSE,"0,34","0,53"
Torment,Deep Analysis,TRUE,"2,97","0,90"
Torment,Deep Analysis,TRUE,"2,97","0,90"
Torment,Deep Analysis,FALSE,"0,04","0,02"
Commander 2016,Deepglow Skate,FALSE,"4,24","4,73"
Theros,Defend the Hearth,TRUE,"0,05","0,02"
Eighth Edition,Defense Grid,FALSE,"3,56","2,03"
Legions,Deftblade Elite,TRUE,"0,51","0,18"
Eventide,Deity of Scars,FALSE,"1,53","1,13"
Urza's Legacy,Delusions of Mediocrity,TRUE,"0,75","3,14"
Shadowmoor,Demigod of Revenge,FALSE,"0,76","1,67"
Alara Reborn,Demonic Dread,FALSE,"0,04","0,14"
Duel Decks: Divine vs. Demonic,Demonic Tutor,FALSE,"27,96","21,60"
Revised Edition,Demonic Tutor,FALSE,"17,80","16,88"
Commander 2016,Den Protector,FALSE,"0,08","0,39"
Avacyn Restored,Descendants' Path,FALSE,"1,91","2,21"
Conspiracy: Take the Crown,Desertion,FALSE,"0,51","0,18"
Visions,Desertion,FALSE,"0,81","1,58"
Avacyn Restored,Desolate Lighthouse,FALSE,"0,28","0,45"
Champions of Kamigawa,Desperate Ritual,FALSE,"0,68","0,14"
Planeshift,Destructive Flow,TRUE,"1,91","3,15"
Magic 2011,Destructive Force,FALSE,"0,08","0,08"
Duel Decks: Heroes vs. Monsters,Destructive Revelry,FALSE,"0,04","0,14"
Return to Ravnica,Detention Sphere,FALSE,"0,38","0,68"
Planar Chaos,Detritivore,FALSE,"0,14","0,05"
Torment,Devastating Dreams,FALSE,"0,08","0,18"
Innistrad,Devil's Play,FALSE,"0,08","0,06"
Gatecrash,Devour Flesh,TRUE,"0,14","0,45"
Zendikar,Devout Lightcaster,FALSE,"0,08","0,09"
Tempest,Diabolic Edict,FALSE,"0,08","0,36"
Odyssey,Diabolic Tutor,TRUE,"3,81","2,69"
Magic 2010,Diabolic Tutor,FALSE,"0,07","0,02"
Magic 2011,Diabolic Tutor,FALSE,"0,10","0,02"
Magic 2014,Diabolic Tutor,FALSE,"0,04","0,02"
Magic 2014,Diabolic Tutor,TRUE,"0,17","0,26"
Journey into Nyx,Dictate of Kruphix,TRUE,"1,04","0,77"
Journey into Nyx,Dictate of Kruphix,FALSE,"0,42","0,27"
Gatecrash,Diluvian Primordial,FALSE,"0,08","0,09"
Classic Sixth Edition,Diminishing Returns,FALSE,"0,08","0,12"
Ravnica: City of Guilds,Dimir Aqueduct,FALSE,"0,04","0,02"
Commander 2013,Dimir Guildgate,FALSE,"0,05","0,02"
Gatecrash,Dimir Guildgate,TRUE,"0,08","0,18"
Dragon's Maze,Dimir Guildgate,TRUE,"0,11","0,09"
Modern Masters 2017,Dimir Signet,FALSE,"0,55","0,02"
Gatecrash,Dinrova Horror,TRUE,"0,17","0,09"
Dark Ascension,Diregraf Captain,FALSE,"0,05","0,18"
Commander 2014,Disciple of Bolas,FALSE,"0,97","0,36"
Magic 2013,Disciple of Bolas,FALSE,"0,42","0,27"
Khans of Tarkir,Disdainful Stroke,TRUE,"0,11","0,09"
Commander 2016,Disdainful Stroke,FALSE,"0,05","0,02"
Zendikar,Disfigure,FALSE,"0,04","0,05"
Khans of Tarkir,Dismal Backwater,FALSE,"0,05","0,00"
Khans of Tarkir,Dismal Backwater,TRUE,"0,21","0,05"
Invasion,Dismantling Blow,TRUE,"0,38","1,25"
New Phyrexia,Dispatch,FALSE,"0,17","0,45"
Worldwake,Dispel,FALSE,"0,04","0,02"
Worldwake,Dispel,FALSE,"0,04","0,02"
Betrayers of Kamigawa,Disrupting Shoal,FALSE,"5,42","4,95"
Onslaught,Disruptive Pitmage,TRUE,"0,08","0,09"
Amonkhet,Dissenter's Deliverance,TRUE,"0,38","0,09"
Scars of Mirrodin,Dissipation Field,FALSE,"0,32","0,18"
Scars of Mirrodin,Dissipation Field,TRUE,"0,76","1,79"
Theros,Dissolve,FALSE,"0,04","0,02"
Morningtide,Distant Melody,FALSE,"0,28","0,27"
Rise of the Eldrazi,Distortion Strike,TRUE,"2,54","5,39"
Odyssey,Divert,FALSE,"0,21","1,26"
Innistrad,Divine Reckoning,FALSE,"0,08","0,09"
Eventide,Divinity of Pride,FALSE,"1,48","1,53"
Nemesis,Dominate,TRUE,"1,19","1,80"
Commander 2011,Dominus of Fealty,FALSE,"1,10","0,90"
Magic 2010,Doom Blade,FALSE,"0,10","0,02"
Magic 2012,Doom Blade,TRUE,"0,32","0,88"
Magic 2014,Doom Blade,FALSE,"0,04","0,02"
Innistrad,Doomed Traveler,FALSE,"0,04","0,01"
Innistrad,Doomed Traveler,FALSE,"0,04","0,01"
Innistrad,Doomed Traveler,TRUE,"0,08","0,18"
Classic Sixth Edition,Doomsday,FALSE,"1,95","1,35"
Magic 2014,Door of Destinies,FALSE,"2,54","1,93"
Magic 2014,Door of Destinies,TRUE,"3,05","3,59"
Magic 2012,Doubling Chant,FALSE,"0,08","0,09"
Tempest,Dracoplasm,FALSE,"0,06","0,18"
Alara Reborn,Dragon Broodmother,FALSE,"6,57","7,56"
Ninth Edition,Dragon's Claw,FALSE,"0,10","0,02"
Worldwake,Dragonmaster Outcast,FALSE,"0,55","1,35"
Magic 2011,Dragonskull Summit,FALSE,"1,10","1,08"
Magic 2012,Dragonskull Summit,FALSE,"0,55","0,89"
Magic 2013,Dragonskull Summit,FALSE,"0,76","1,08"
Scourge,Dragonstorm,FALSE,"0,32","0,41"
Commander 2014,"Drana, Kalastria Bloodchief",FALSE,"0,08","0,13"
Commander 2011,Dread Cacodemon,FALSE,"1,44","1,13"
Tempest,Dread of Night,FALSE,"0,17","0,45"
Time Spiral,Dread Return,TRUE,"2,54","1,98"
Time Spiral,Dread Return,FALSE,"0,21","0,08"
Stronghold,Dream Halls,FALSE,"4,49","4,05"
Innistrad,Dream Twist,TRUE,"0,07","0,13"
Legions,Dreamborn Muse,FALSE,"0,08","0,11"
Avacyn Restored,Driver of the Dead,TRUE,"0,07","0,09"
Dark Ascension,Drogskol Captain,FALSE,"0,34","0,63"
Planeshift,Dromar's Charm,TRUE,"0,51","1,13"
Darksteel,Dross Golem,TRUE,"0,07","0,08"
Magic 2012,Drowned Catacomb,FALSE,"3,39","1,66"
Return to Ravnica,Druid's Deliverance,TRUE,"0,07","0,08"
Avacyn Restored,Druid's Familiar,TRUE,"0,07","0,05"
Future Sight,Dryad Arbor,FALSE,"3,98","4,12"
Avacyn Restored,Dual Casting,FALSE,"0,08","0,09"
Eternal Masters,Dualcaster Mage,TRUE,"2,80","1,04"
Commander 2016,Duelist's Heritage,FALSE,"1,10","0,72"
Mirrodin,Duplicant,FALSE,"1,14","0,90"
Urza's Saga,Duress,FALSE,"0,08","0,13"
Mercadian Masques,Dust Bowl,FALSE,"5,51","5,40"
Magic Origins,Dwynen's Elite,FALSE,"0,28","0,26"
Morningtide,Earwig Squad,FALSE,"0,20","0,18"
Legions,Echo Tracer,TRUE,"0,07","0,05"
Duel Decks: Elspeth vs. Tezzeret,Echoing Truth,FALSE,"0,07","0,02"
Darksteel,Echoing Truth,TRUE,"1,34","1,34"
Darksteel,Echoing Truth,FALSE,"0,06","0,02"
Future Sight,Edge of Autumn,TRUE,"1,19","0,90"
Duel Decks: Knights vs. Dragons,Edge of Autumn,FALSE,"0,07","0,05"
Eventide,Edge of the Divinity,FALSE,"0,07","0,14"
Born of the Gods,Eidolon of Countless Battles,FALSE,"0,17","0,18"
Planeshift,Eladamri's Call,FALSE,"5,51","3,60"
Tempest,Eladamri's Vineyard,FALSE,"0,72","0,62"
Magic 2013,Elderscale Wurm,FALSE,"1,06","1,35"
Zendikar,Eldrazi Monument,FALSE,"2,37","1,98"
Modern Masters 2015,Eldrazi Temple,FALSE,"5,93","8,09"
Odyssey,Elephant Ambush,TRUE,"0,14","0,14"
Visions,Elephant Grass,FALSE,"0,13","0,18"
Judgment,Elephant Guide,TRUE,"0,38","0,45"
Magic 2014,Elite Arcanist,FALSE,"0,08","0,09"
Innistrad,Elite Inquisitor,FALSE,"0,20","0,14"
Duel Decks: Elspeth vs. Tezzeret,Elixir of Immortality,FALSE,"0,08","0,02"
Magic 2011,Elixir of Immortality,FALSE,"0,16","0,05"
Magic 2012,Elixir of Immortality,TRUE,"0,75","0,85"
Magic 2012,Elixir of Immortality,FALSE,"0,07","0,05"
Shards of Alara,"Elspeth, Knight-Errant",FALSE,"9,53","6,30"
Dragons of Tarkir,Elusive Spellfist,TRUE,"0,17","0,05"
Magic 2010,Elvish Archdruid,FALSE,"1,44","1,78"
Magic 2011,Elvish Archdruid,FALSE,"0,81","1,53"
Lorwyn,Elvish Harbinger,FALSE,"0,68","0,44"
Magic 2014,Elvish Mystic,TRUE,"0,76","2,06"
Ninth Edition,Elvish Piper,TRUE,"8,14","8,06"
Magic 2010,Elvish Piper,FALSE,"3,56","3,15"
Lorwyn,Elvish Promenade,FALSE,"1,19","0,79"
Alliances,Elvish Spirit Guide,FALSE,"2,37","2,25"
Onslaught,Elvish Vanguard,FALSE,"0,42","0,81"
Shards of Alara,Elvish Visionary,FALSE,"0,04","0,02"
Magic 2010,Elvish Visionary,FALSE,"0,04","0,02"
Odyssey,Embolden,TRUE,"0,10","0,06"
Zendikar,Emeria Angel,FALSE,"0,38","0,18"
Battle for Zendikar,Emeria Shepherd,FALSE,"0,08","0,02"
Zendikar,"Emeria, the Sky Ruin",FALSE,"2,54","2,70"
Urza's Destiny,Emperor Crocodile,TRUE,"0,51","1,76"
Invasion,Empress Galina,TRUE,"43,22","36,00"
Time Spiral,Empty the Warrens,FALSE,"0,04","0,05"
Shards of Alara,Empyrial Archangel,FALSE,"1,10","1,34"
Onslaught,Enchantress's Presence,FALSE,"5,08","4,49"
Onslaught,Enchantress's Presence,TRUE,"19,32","15,20"
Battle for Zendikar,Endless One,FALSE,"0,20","0,09"
Innistrad,Endless Ranks of the Dead,FALSE,"2,12","3,15"
Duel Decks: Elspeth vs. Tezzeret,Energy Chamber,FALSE,"0,20","0,14"
Scars of Mirrodin,Engulfing Slagwurm,FALSE,"0,08","0,09"
Amonkhet,Enigma Drake,FALSE,"0,09","0,02"
Eternal Masters,Enlightened Tutor,TRUE,"10,17","15,44"
Mirage,Enlightened Tutor,FALSE,"6,78","5,67"
Conspiracy,Enraged Revolutionary,TRUE,"0,05","0,04"
Eighth Edition,Ensnaring Bridge,FALSE,"18,64","22,50"
Gatecrash,Enter the Infinite,FALSE,"0,34","0,79"
Odyssey,Entomb,FALSE,"9,32","10,71"
Commander 2016,Entrapment Maneuver,FALSE,"0,08","0,20"
Avacyn Restored,Entreat the Angels,FALSE,"0,34","1,67"
Dragons of Tarkir,Epic Confrontation,TRUE,"0,38","0,02"
Commander 2015,Epic Experiment,FALSE,"0,21","0,11"
Judgment,Epic Struggle,FALSE,"0,44","0,27"
Exodus,Equilibrium,FALSE,"0,72","0,45"
Time Spiral,Errant Ephemeron,TRUE,"0,07","0,09"
Exodus,Erratic Portal,FALSE,"0,25","0,59"
Planeshift,"Ertai, the Corrupted",TRUE,"8,14","62,99"
Exodus,"Ertai, Wizard Adept",FALSE,"5,42","3,87"
Conflux,Esper Cormorants,TRUE,"0,05","0,08"
Commander 2013,Esper Panorama,FALSE,"0,14","0,02"
Magic 2014,Essence Scatter,TRUE,"0,45","0,23"
Amonkhet,Essence Scatter,FALSE,"0,04","0,00"
Scars of Mirrodin,Etched Champion,FALSE,"1,53","1,80"
Fifth Dawn,Eternal Witness,TRUE,"14,24","16,20"
Zendikar,Eternity Vessel,FALSE,"0,68","0,45"
Shards of Alara,Etherium Sculptor,FALSE,"0,04","0,08"
Conflux,Ethersworn Adjudicator,FALSE,"0,55","1,13"
Shards of Alara,Ethersworn Canonist,FALSE,"5,51","4,95"
Stronghold,Evacuation,FALSE,"0,34","0,40"
Tenth Edition,Evacuation,TRUE,"12,71","10,35"
Tenth Edition,Evacuation,FALSE,"1,10","0,54"
Apocalypse,Evasive Action,TRUE,"0,76","1,80"
Duel Decks: Elspeth vs. Tezzeret,Everflowing Chalice,FALSE,"0,18","0,02"
Modern Masters 2015,Everflowing Chalice,FALSE,"0,18","0,02"
Worldwake,Everflowing Chalice,FALSE,"0,08","0,02"
Innistrad,Evil Twin,FALSE,"0,08","0,14"
Tempest,Evincar's Justice,FALSE,"0,04","0,02"
Tempest,Evincar's Justice,FALSE,"0,04","0,02"
Planar Chaos,Evolution Charm,TRUE,"0,14","0,25"
Magic 2013,Evolving Wilds,TRUE,"0,14","0,22"
Magic 2013,Evolving Wilds,FALSE,"0,04","0,01"
Invasion,Exclude,TRUE,"2,71","4,46"
Shards of Alara,Executioner's Capsule,FALSE,"0,05","0,02"
Conflux,Exotic Orchard,FALSE,"0,17","0,26"
Battle for Zendikar,Expedition Envoy,FALSE,"0,04","0,00"
Zendikar,Expedition Map,FALSE,"1,27","0,90"
Worldwake,Explore,TRUE,"1,53","4,00"
Worldwake,Explore,FALSE,"0,04","0,02"
Onslaught,Explosive Vegetation,FALSE,"0,34","0,07"
Archenemy,Extractor Demon,FALSE,"0,08","0,09"
Champions of Kamigawa,Eye of Nowhere,TRUE,"0,38","0,13"
Lorwyn,Eyes of the Wisent,FALSE,"0,08","0,09"
Scars of Mirrodin,"Ezuri, Renegade Leader",FALSE,"3,14","3,59"
Scars of Mirrodin,"Ezuri, Renegade Leader",TRUE,"8,47","10,80"
Theros,Fabled Hero,FALSE,"0,08","0,07"
Mirrodin,Fabricate,TRUE,"6,10","3,60"
Magic 2010,Fabricate,FALSE,"1,53","0,72"
Torment,Faceless Butcher,TRUE,"0,17","0,34"
Torment,Faceless Butcher,TRUE,"0,17","0,34"
Torment,Faceless Butcher,TRUE,"0,17","0,34"
Invasion,Fact or Fiction,FALSE,"0,17","0,17"
Invasion,Fact or Fiction,TRUE,"7,20","8,55"
Commander 2016,Faerie Artisans,FALSE,"0,85","0,90"
Urza's Legacy,Faerie Conclave,FALSE,"0,32","0,37"
Urza's Legacy,Faerie Conclave,TRUE,"2,97","6,75"
Tenth Edition,Faerie Conclave,FALSE,"0,42","0,22"
Shadowmoor,Faerie Macabre,FALSE,"0,06","0,05"
Magic Origins,Faerie Miscreant,FALSE,"0,04","0,02"
Ravnica: City of Guilds,Faith's Fetters,TRUE,"0,38","0,61"
Magic 2013,Faith's Reward,FALSE,"0,25","0,22"
Dark Ascension,Faithless Looting,FALSE,"0,14","0,09"
Innistrad,Falkenrath Marauders,FALSE,"0,08","0,08"
Innistrad,Falkenrath Noble,TRUE,"0,08","0,43"
Duel Decks: Divine vs. Demonic,Fallen Angel,FALSE,"0,08","0,05"
Legends,Fallen Angel,FALSE,"0,33","3,60"
Portal: Three Kingdoms,False Defeat,FALSE,"4,36","2,25"
Commander 2011,False Prophet,FALSE,"0,08","0,18"
Urza's Destiny,False Prophet,TRUE,"2,97","2,85"
Lorwyn,Familiar's Ruse,FALSE,"0,04","0,07"
Theros,Fanatic of Mogis,TRUE,"0,14","0,18"
Torment,Far Wanderings,TRUE,"0,76","2,70"
Shadowmoor,Farhaven Elf,FALSE,"0,07","0,05"
Ravnica: City of Guilds,Farseek,TRUE,"0,59","1,18"
Ravnica: City of Guilds,Farseek,FALSE,"0,04","0,02"
Magic 2013,Farseek,FALSE,"0,04","0,02"
Unhinged,Fascist Art Director,TRUE,"0,11","0,63"
Aether Revolt,Fatal Push,FALSE,"4,49","5,27"
Shards of Alara,Fatestitcher,FALSE,"0,21","0,32"
Prophecy,Fault Riders,TRUE,"0,07","0,18"
Magic 2011,Fauna Shaman,TRUE,"11,86","13,50"
Magic 2011,Fauna Shaman,FALSE,"5,08","5,12"
Theros,Favored Hoplite,TRUE,"0,05","0,09"
Zendikar,Feast of Blood,FALSE,"0,04","0,09"
Urza's Saga,Fecundity,FALSE,"0,07","0,17"
Zendikar,Felidar Sovereign,FALSE,"0,21","0,44"
Battle for Zendikar,Felidar Sovereign,FALSE,"0,10","0,02"
Commander 2011,Fellwar Stone,FALSE,"0,08","0,14"
The Dark,Fellwar Stone,FALSE,"2,54","4,50"
Shards of Alara,Feral Hydra,FALSE,"0,42","0,23"
Legions,Feral Throwback,TRUE,"0,17","0,27"
Morningtide,Fertilid,FALSE,"0,05","0,02"
Avacyn Restored,Fervent Cathar,TRUE,"0,05","0,05"
Morningtide,Feudkiller's Verdict,FALSE,"0,13","0,09"
Shadows over Innistrad,Fevered Visions,FALSE,"0,08","0,02"
Innistrad,Fiend Hunter,FALSE,"0,04","0,02"
Alara Reborn,Fight to the Death,FALSE,"0,08","0,18"
Eventide,Figure of Destiny,FALSE,"0,51","0,90"
Judgment,Filth,FALSE,"0,07","0,04"
Alara Reborn,Finest Hour,FALSE,"1,10","0,27"
Apocalypse,Fire // Ice,TRUE,"3,73","4,37"
Ice Age,Fire Covenant,FALSE,"0,32","0,81"
Mirage,Fire Diamond,FALSE,"0,07","0,08"
Shadowmoor,Fire-Lit Thicket,FALSE,"6,36","6,08"
Magic 2010,Fireball,TRUE,"0,08","0,14"
Duel Decks: Jace vs. Chandra,Fireblast,FALSE,"0,68","0,42"
Visions,Fireblast,FALSE,"0,22","0,45"
Duel Decks: Jace vs. Chandra,Firebolt,FALSE,"0,06","0,05"
Invasion,Fires of Yavimaya,TRUE,"1,48","5,31"
Shadowmoor,Firespout,FALSE,"0,05","0,14"
Weatherlight,Firestorm,FALSE,"3,81","4,05"
Alara Reborn,Firewild Borderpost,TRUE,"0,10","0,23"
Fifth Dawn,Fist of Suns,FALSE,"0,64","0,68"
Ravnica: City of Guilds,Fists of Ironwood,TRUE,"0,08","0,23"
Time Spiral,Flagstones of Trokair,FALSE,"7,63","5,40"
Duel Decks: Jace vs. Chandra,Flame Javelin,FALSE,"0,04","0,08"
Urza's Destiny,Flame Jet,TRUE,"0,14","0,32"
Nemesis,Flame Rift,FALSE,"0,08","0,09"
Shards of Alara,Flameblast Dragon,FALSE,"0,14","0,08"
Lorwyn,Flamekin Harbinger,FALSE,"1,06","0,80"
Duel Decks: Jace vs. Chandra,Flametongue Kavu,FALSE,"0,07","0,09"
Commander 2011,Flametongue Kavu,FALSE,"0,05","0,18"
Tenth Edition,Flashfreeze,FALSE,"0,05","0,02"
Mirrodin Besieged,Flayer Husk,TRUE,"0,11","0,09"
Dark Ascension,Flayer of the Hatebound,FALSE,"0,08","0,14"
Theros,Fleecemane Lion,FALSE,"0,08","0,35"
Shards of Alara,Fleshbag Marauder,FALSE,"0,05","0,02"
Modern Masters 2017,Flickerwisp,TRUE,"0,64","1,80"
Eventide,Flickerwisp,FALSE,"0,17","0,44"
Eventide,Flooded Grove,FALSE,"11,02","8,99"
Onslaught,Flooded Strand,FALSE,"12,71","18,00"
Khans of Tarkir,Flooded Strand,FALSE,"6,14","10,58"
Magic 2010,Fog,TRUE,"0,21","0,14"
Magic 2011,Fog,TRUE,"0,14","0,14"
Commander 2011,Fog Bank,FALSE,"0,44","0,14"
Urza's Saga,Fog Bank,FALSE,"0,28","0,29"
Duel Decks: Elspeth vs. Tezzeret,Foil,FALSE,"0,17","0,09"
Conflux,Font of Mythos,FALSE,"2,12","2,25"
Exodus,Forbid,FALSE,"0,72","0,18"
