set;name;foil;ck;mkm;available;profit;profitpct
Magic 2011;Steel Overseer;TRUE;25,39;24,3;1;-1,09;-0,042930288
Return to Ravnica;Overgrown Tomb;TRUE;16,92;16,19;1;-0,73;-0,043144208
Kaladesh Inventions;Painter's Servant;FALSE;25,39;24,29;1;-1,1;-0,043324143
Odyssey;Barbarian Ring;TRUE;9,3;8,89;1;-0,41;-0,044086022
Rise of the Eldrazi;Khalni Hydra;TRUE;14,38;13,73;8;-0,65;-0,045201669
Odyssey;Predict;FALSE;2,36;2,25;3;-0,11;-0,046610169
Journey into Nyx;Eidolon of the Great Revel;FALSE;8,46;8,06;8;-0,4;-0,047281324
Beatdown Box Set;Terror;FALSE;0,21;0,2;3;-0,01;-0,047619048
Portal: Second Age;Untamed Wilds;FALSE;0,21;0,2;1;-0,01;-0,047619048
The Dark;Angry Mob;FALSE;0,21;0,2;1;-0,01;-0,047619048
The Dark;Whippoorwill;FALSE;0,21;0,2;8;-0,01;-0,047619048
Anthologies;Goblin Matron;FALSE;0,84;0,8;3;-0,04;-0,047619048
Magic 2014;Banisher Priest;TRUE;0,84;0,8;7;-0,04;-0,047619048
Morningtide;Stenchskipper;TRUE;0,84;0,8;7;-0,04;-0,047619048
Scars of Mirrodin;Myr Reservoir;TRUE;0,84;0,8;8;-0,04;-0,047619048
Dragons of Tarkir;Ire Shaman;TRUE;0,41;0,39;8;-0,02;-0,048780488
Antiquities;Shatterstorm;FALSE;16,08;15,29;1;-0,79;-0,049129353
Arabian Nights;Juzám Djinn;FALSE;592,61;563,4;3;-29,21;-0,049290427
Shadows over Innistrad;Thing in the Ice // Awoken Horror;FALSE;2,36;2,24;8;-0,12;-0,050847458
Seventh Edition;Engineered Plague;TRUE;9,3;8,82;10;-0,48;-0,051612903
Lorwyn;Immaculate Magistrate;TRUE;4,22;4;3;-0,22;-0,052132701
Ninth Edition;Thundermare;TRUE;4,22;4;6;-0,22;-0,052132701
Coldsnap;Sek'Kuar, Deathkeeper;TRUE;3,8;3,6;4;-0,2;-0,052631579
Conspiracy;Worldknit;TRUE;3,8;3,6;8;-0,2;-0,052631579
Rise of the Eldrazi;Deprive;TRUE;3,8;3,6;8;-0,2;-0,052631579
Seventh Edition;Deflection;TRUE;3,8;3,6;2;-0,2;-0,052631579
Seventh Edition;Maro;TRUE;3,8;3,6;4;-0,2;-0,052631579
Zendikar;Rampaging Baloths;TRUE;3,8;3,6;8;-0,2;-0,052631579
Dark Ascension;Falkenrath Aristocrat;TRUE;7,61;7,2;8;-0,41;-0,053876478
Seventh Edition;Elvish Archers;TRUE;7,61;7,2;7;-0,41;-0,053876478
Modern Masters;Kiki-Jiki, Mirror Breaker;TRUE;15,23;14,4;8;-0,83;-0,054497702
Eventide;Slippery Bogle;TRUE;7,61;7,19;4;-0,42;-0,055190539
Fifth Dawn;Joiner Adept;TRUE;7,61;7,19;4;-0,42;-0,055190539
Seventh Edition;Eastern Paladin;TRUE;7,61;7,19;5;-0,42;-0,055190539
Seventh Edition;Hurricane;TRUE;7,61;7,19;4;-0,42;-0,055190539
Oath of the Gatewatch;Warping Wail;TRUE;3,8;3,59;2;-0,21;-0,055263158
Portal: Second Age;Dakmor Sorceress;FALSE;3,8;3,59;4;-0,21;-0,055263158
Fourth Edition;Hurkyl's Recall;FALSE;2,53;2,39;7;-0,14;-0,055335968
Arabian Nights;Kird Ape;FALSE;5,49;5,18;1;-0,31;-0,056466302
Fate Reforged;Soulfire Grand Master;TRUE;5,92;5,58;8;-0,34;-0,057432432
Worldwake;Explore;TRUE;3,8;3,58;7;-0,22;-0,057894737
Avacyn Restored;Harvester of Souls;TRUE;0,84;0,79;5;-0,05;-0,05952381
Magic 2014;Megantic Sliver;TRUE;0,84;0,79;8;-0,05;-0,05952381
Nemesis;Complex Automaton;TRUE;0,84;0,79;1;-0,05;-0,05952381
Odyssey;Cursed Monstrosity;TRUE;0,84;0,79;3;-0,05;-0,05952381
Magic 2010;Great Sable Stag;TRUE;1,68;1,58;3;-0,1;-0,05952381
Magic 2015;Soul of Shandalar;TRUE;1,68;1,58;6;-0,1;-0,05952381
Urza's Destiny;Emperor Crocodile;TRUE;1,68;1,58;5;-0,1;-0,05952381
Commander 2015;Wretched Confluence;FALSE;0,67;0,63;8;-0,04;-0,059701493
Duel Decks: Heroes vs. Monsters;Polukranos, World Eater;FALSE;0,67;0,63;3;-0,04;-0,059701493
Magic Origins;Magmatic Insight;TRUE;0,67;0,63;3;-0,04;-0,059701493
Classic Sixth Edition;Summer Bloom;FALSE;0,67;0,63;4;-0,04;-0,059701493
Unglued;Look at Me, I'm the DCI;FALSE;0,67;0,63;4;-0,04;-0,059701493
Prophecy;Spitting Spider;TRUE;0,33;0,31;3;-0,02;-0,060606061
Return to Ravnica;Angel of Serenity;TRUE;6,76;6,35;6;-0,41;-0,060650888
Eldritch Moon;Liliana, the Last Hope;FALSE;25,39;23,84;8;-1,55;-0,061047657
Innistrad;Balefire Dragon;FALSE;14,38;13,5;7;-0,88;-0,061196106
Battle for Zendikar;Gideon, Ally of Zendikar;FALSE;9,3;8,73;8;-0,57;-0,061290323
Seventh Edition;Circle of Protection: White;TRUE;2,11;1,98;1;-0,13;-0,061611374
Journey into Nyx;Nyx-Fleece Ram;TRUE;3,8;3,56;11;-0,24;-0,063157895
Magic 2012;Goblin Grenade;TRUE;3,8;3,56;6;-0,24;-0,063157895
Mirrodin Besieged;Hero of Oxid Ridge;TRUE;3,8;3,56;8;-0,24;-0,063157895
Seventh Edition;Blessed Reversal;TRUE;3,8;3,56;7;-0,24;-0,063157895
Amonkhet Invocations;Diabolic Edict;FALSE;22;20,61;20;-1,39;-0,063181818
Battle Royale Box Set;Spike Weaver;FALSE;8,46;7,92;8;-0,54;-0,063829787
Shards of Alara;Fleshbag Marauder;TRUE;1,68;1,57;9;-0,11;-0,06547619
Mercadian Masques;Erithizon;TRUE;2,11;1,97;3;-0,14;-0,066350711
Shadowmoor;Augury Adept;TRUE;2,11;1,97;2;-0,14;-0,066350711
Modern Masters 2017;Bonfire of the Damned;TRUE;5,07;4,73;8;-0,34;-0,067061144
Prophecy;Alexi, Zephyr Mage;TRUE;5,07;4,73;1;-0,34;-0,067061144
The Dark;Season of the Witch;FALSE;8,46;7,89;5;-0,57;-0,067375887
Planechase;Ancient Den;FALSE;2,36;2,2;16;-0,16;-0,06779661
Dragon's Maze;Legion's Initiative;TRUE;3,38;3,15;8;-0,23;-0,068047337
Invasion;Disrupt;TRUE;3,38;3,15;2;-0,23;-0,068047337
Rise of the Eldrazi;Sea Gate Oracle;TRUE;3,38;3,15;12;-0,23;-0,068047337
Seventh Edition;Mawcor;TRUE;3,38;3,15;6;-0,23;-0,068047337
Dragon's Maze;Blood Baron of Vizkopa;TRUE;6,76;6,3;3;-0,46;-0,068047337
Judgment;Silver Seraph;TRUE;6,76;6,3;4;-0,46;-0,068047337
Magic 2012;Sundial of the Infinite;TRUE;8,46;7,88;8;-0,58;-0,06855792
Planechase 2012;Kilnspire District;FALSE;0,58;0,54;20;-0,04;-0,068965517
Planechase 2012;Onakke Catacomb;FALSE;0,58;0,54;20;-0,04;-0,068965517
Revised Edition;Granite Gargoyle;FALSE;0,58;0,54;6;-0,04;-0,068965517
Weatherlight;Dense Foliage;FALSE;0,58;0,54;5;-0,04;-0,068965517
Magic 2014;Primeval Bounty;TRUE;5,07;4,72;8;-0,35;-0,069033531
Avacyn Restored;Vexing Devil;TRUE;13,54;12,6;5;-0,94;-0,069423929
Magic 2012;Timely Reinforcements;TRUE;6,76;6,29;3;-0,47;-0,069526627
Magic Origins;Chandra, Fire of Kaladesh // Chandra, Roaring Flame;TRUE;6,76;6,29;8;-0,47;-0,069526627
Ninth Edition;Paladin en-Vec;TRUE;6,76;6,29;2;-0,47;-0,069526627
Eldritch Moon;Grim Flayer;TRUE;23,7;22,05;3;-1,65;-0,069620253
Nemesis;Kor Haven;TRUE;33,86;31,5;6;-2,36;-0,06969876
Seventh Edition;Equilibrium;TRUE;33,86;31,5;3;-2,36;-0,06969876
Seventh Edition;Worship;TRUE;50,79;47,25;8;-3,54;-0,06969876
Arabian Nights;Serendib Djinn;FALSE;84,65;78,75;4;-5,9;-0,06969876
Gatecrash;Thespian's Stage;TRUE;16,92;15,74;7;-1,18;-0,069739953
Urza's Destiny;Rayne, Academy Chancellor;TRUE;13,54;12,59;1;-0,95;-0,070162482
Seventh Edition;Reprisal;TRUE;11;10,22;5;-0,78;-0,070909091
New Phyrexia;Vault Skirge;TRUE;3,38;3,14;6;-0,24;-0,071005917
Seventh Edition;Revenant;TRUE;3,38;3,14;7;-0,24;-0,071005917
Shadowmoor;Thistledown Liege;TRUE;3,38;3,14;8;-0,24;-0,071005917
Gatecrash;Experiment One;TRUE;2,11;1,96;4;-0,15;-0,071090047
Nemesis;Murderous Betrayal;TRUE;1,26;1,17;1;-0,09;-0,071428571
Modern Masters 2015;Tarmogoyf;TRUE;126,98;117,9;8;-9,08;-0,071507324
Modern Masters;Gifts Ungiven;TRUE;10,15;9,41;8;-0,74;-0,072906404
Ninth Edition;Levitation;TRUE;0,41;0,38;6;-0,03;-0,073170732
Tenth Edition;Rage Weaver;TRUE;0,41;0,38;5;-0,03;-0,073170732
Mercadian Masques;Ancestral Mask;TRUE;3,38;3,13;5;-0,25;-0,073964497
Aether Revolt;Spire of Industry;TRUE;6,76;6,26;1;-0,5;-0,073964497
Coldsnap;Sheltering Ancient;TRUE;6,76;6,26;1;-0,5;-0,073964497
Magic 2014;Shadowborn Demon;FALSE;0,67;0,62;8;-0,05;-0,074626866
Planechase 2012;Kessig;FALSE;0,67;0,62;20;-0,05;-0,074626866
Planechase 2012;Wall of Blossoms;FALSE;0,67;0,62;8;-0,05;-0,074626866
Shadowmoor;Puppeteer Clique;FALSE;0,67;0,62;8;-0,05;-0,074626866
Zendikar;Burst Lightning;TRUE;0,67;0,62;9;-0,05;-0,074626866
Shadows over Innistrad;Nahiri, the Harbinger;FALSE;8,03;7,43;8;-0,6;-0,074719801
Scourge;Dragon Mage;TRUE;19,46;18;5;-1,46;-0,075025694
Scars of Mirrodin;Dissipation Field;TRUE;2,53;2,34;2;-0,19;-0,075098814
Betrayers of Kamigawa;Nourishing Shoal;TRUE;19,46;17,99;7;-1,47;-0,075539568
Gatecrash;Godless Shrine;TRUE;19,46;17,99;8;-1,47;-0,075539568
Legends;Time Elemental;FALSE;19,46;17,99;3;-1,47;-0,075539568
Dissension;Condemn;TRUE;8,46;7,82;1;-0,64;-0,075650118
Magic 2011;Baneslayer Angel;TRUE;14,38;13,29;5;-1,09;-0,075799722
Shadowmoor;Guttural Response;TRUE;3,8;3,51;2;-0,29;-0,076315789
Legends;Ur-Drago;FALSE;13,54;12,5;1;-1,04;-0,076809453
Guildpact;Burning-Tree Shaman;TRUE;3,38;3,12;3;-0,26;-0,076923077
Legends;Storm World;FALSE;19,46;17,96;1;-1,5;-0,077081192
Modern Masters 2017;Griselbrand;FALSE;6,34;5,85;8;-0,49;-0,077287066
Innistrad;Past in Flames;TRUE;12,69;11,69;8;-1;-0,078802206
Coldsnap;Jötun Grunt;TRUE;3,8;3,5;5;-0,3;-0,078947368
Invasion;Opt;TRUE;38,09;35,08;1;-3,01;-0,079023366
Commander 2015;Arachnogenesis;FALSE;4,65;4,28;8;-0,37;-0,079569892
Magic Origins;Harbinger of the Tides;TRUE;3,38;3,11;8;-0,27;-0,079881657
Battle Royale Box Set;Prodigal Sorcerer;FALSE;0,25;0,23;15;-0,02;-0,08
Dark Ascension;Stromkirk Captain;FALSE;0,25;0,23;20;-0,02;-0,08
Ice Age;Thermokarst;FALSE;0,25;0,23;20;-0,02;-0,08
Unlimited Edition;Red Elemental Blast;FALSE;2,11;1,94;5;-0,17;-0,08056872
Amonkhet;Rhonas the Indomitable;FALSE;9,3;8,55;8;-0,75;-0,080645161
Coldsnap;Thrumming Stone;TRUE;12,69;11,66;4;-1,03;-0,081166273
Shadows over Innistrad;Tireless Tracker;TRUE;9,3;8,54;1;-0,76;-0,08172043
Avacyn Restored;Revenge of the Hunted;TRUE;0,84;0,77;8;-0,07;-0,083333333
Dark Ascension;Vorapede;FALSE;0,84;0,77;8;-0,07;-0,083333333
Invasion;Reckless Assault;TRUE;0,84;0,77;6;-0,07;-0,083333333
Scars of Mirrodin;Sunblast Angel;TRUE;0,84;0,77;1;-0,07;-0,083333333
Worldwake;Khalni Garden;TRUE;0,84;0,77;1;-0,07;-0,083333333
Eighth Edition;Trade Routes;TRUE;2,95;2,7;2;-0,25;-0,084745763
Nemesis;Stronghold Gambit;FALSE;2,95;2,7;8;-0,25;-0,084745763
Seventh Edition;Wall of Wonder;TRUE;2,95;2,7;2;-0,25;-0,084745763
Shadows over Innistrad;Tireless Tracker;FALSE;2,95;2,7;8;-0,25;-0,084745763
Mercadian Masques;Collective Unconscious;TRUE;4,22;3,86;5;-0,36;-0,085308057
Future Sight;Korlash, Heir to Blackblade;TRUE;13,54;12,38;2;-1,16;-0,085672083
Mercadian Masques;Thrashing Wumpus;TRUE;5,92;5,4;5;-0,52;-0,087837838
Modern Masters;Jugan, the Rising Star;TRUE;5,92;5,4;8;-0,52;-0,087837838
New Phyrexia;Whipflare;TRUE;5,92;5,4;11;-0,52;-0,087837838
Tenth Edition;Relentless Rats;TRUE;5,92;5,4;5;-0,52;-0,087837838
Journey into Nyx;Worst Fears;TRUE;2,95;2,69;8;-0,26;-0,088135593
Legends;Cathedral of Serra;FALSE;2,95;2,69;9;-0,26;-0,088135593
Mercadian Masques;Ivory Mask;TRUE;2,95;2,69;5;-0,26;-0,088135593
Mirrodin;Atog;TRUE;2,95;2,69;4;-0,26;-0,088135593
Seventh Edition;Elder Druid;TRUE;2,95;2,69;1;-0,26;-0,088135593
Tenth Edition;Molimo, Maro-Sorcerer;TRUE;2,95;2,69;1;-0,26;-0,088135593
Urza's Destiny;Pattern of Rebirth;TRUE;29,62;27;3;-2,62;-0,088453747
Antiquities;Gate to Phyrexia;FALSE;23,7;21,6;2;-2,1;-0,088607595
Scars of Mirrodin;Seachrome Coast;TRUE;11,84;10,79;8;-1,05;-0,088682432
Amonkhet Invocations;Cryptic Command;FALSE;59,25;53,99;3;-5,26;-0,088776371
Apocalypse;Gerrard Capashen;TRUE;5,92;5,39;2;-0,53;-0,089527027
Dark Ascension;Geralf's Messenger;FALSE;5,92;5,39;8;-0,53;-0,089527027
Onslaught;Visara the Dreadful;TRUE;5,92;5,39;7;-0,53;-0,089527027
Seventh Edition;Temporal Adept;TRUE;5,92;5,39;8;-0,53;-0,089527027
Magic 2013;Oblivion Ring;TRUE;0,67;0,61;2;-0,06;-0,089552239
Odyssey;Otarian Juggernaut;TRUE;0,67;0,61;1;-0,06;-0,089552239
Born of the Gods;Karametra, God of Harvests;TRUE;23,7;21,56;8;-2,14;-0,090295359
Fifth Dawn;All Suns' Dawn;TRUE;2,53;2,3;8;-0,23;-0,090909091
Urza's Legacy;About Face;TRUE;0,33;0,3;3;-0,03;-0,090909091
Seventh Edition;Necrologia;TRUE;5,92;5,36;8;-0,56;-0,094594595
Conflux;Thornling;TRUE;3,38;3,06;8;-0,32;-0,094674556
Anthologies;Lady Orca;FALSE;0,21;0,19;1;-0,02;-0,095238095
Starter 1999;Air Elemental;FALSE;0,21;0,19;7;-0,02;-0,095238095
Starter 1999;Goblin Glider;FALSE;0,21;0,19;2;-0,02;-0,095238095
Magic 2013;Redirect;TRUE;0,84;0,76;8;-0,08;-0,095238095
New Phyrexia;Etched Monstrosity;TRUE;1,68;1,52;7;-0,16;-0,095238095
Magic 2011;Squadron Hawk;TRUE;1,26;1,14;4;-0,12;-0,095238095
Amonkhet Invocations;Choke;FALSE;16,92;15,3;3;-1,62;-0,095744681
Battle for Zendikar;Gideon, Ally of Zendikar;TRUE;16,92;15,3;6;-1,62;-0,095744681
Shards of Alara;Mayael the Anima;TRUE;16,92;15,3;8;-1,62;-0,095744681
Ravnica: City of Guilds;Doubling Season;TRUE;84,65;76,5;2;-8,15;-0,096278795
Avacyn Restored;Alchemist's Refuge;TRUE;5,92;5,35;6;-0,57;-0,096283784
Arabian Nights;Sindbad;FALSE;16,92;15,29;4;-1,63;-0,096335697
Legends;Falling Star;FALSE;33,86;30,59;8;-3,27;-0,096574129
Lorwyn;Nath of the Gilt-Leaf;TRUE;16,92;15,26;3;-1,66;-0,098108747
Fate Reforged;Whisperwood Elemental;TRUE;2,95;2,66;8;-0,29;-0,098305085
Shards of Alara;Stoic Angel;TRUE;2,95;2,66;7;-0,29;-0,098305085
Mirage;Zirilan of the Claw;FALSE;5,49;4,95;8;-0,54;-0,098360656
Tenth Edition;Field Marshal;TRUE;8,46;7,62;5;-0,84;-0,09929078
Anthologies;Disenchant;FALSE;0,3;0,27;2;-0,03;-0,1
Battle Royale Box Set;Man-o'-War;FALSE;0,3;0,27;3;-0,03;-0,1
Commander 2017;Hungry Lynx;FALSE;0,3;0,27;8;-0,03;-0,1
Dragons of Tarkir;Ojutai's Command;FALSE;0,3;0,27;8;-0,03;-0,1
Eighth Edition;Ardent Militia;TRUE;0,3;0,27;9;-0,03;-0,1
Eighth Edition;Remove Soul;TRUE;0,3;0,27;5;-0,03;-0,1
Innistrad;Forbidden Alchemy;TRUE;0,3;0,27;5;-0,03;-0,1
Invasion;Tranquility;TRUE;0,3;0,27;1;-0,03;-0,1
Magic 2010;Deathmark;TRUE;0,3;0,27;3;-0,03;-0,1
Mercadian Masques;Caller of the Hunt;FALSE;0,3;0,27;2;-0,03;-0,1
Mercadian Masques;Customs Depot;TRUE;0,3;0,27;9;-0,03;-0,1
Mercadian Masques;Flailing Ogre;TRUE;0,3;0,27;9;-0,03;-0,1
Mercadian Masques;Rushwood Elemental;FALSE;0,3;0,27;8;-0,03;-0,1
Mercadian Masques;Wall of Distortion;TRUE;0,3;0,27;3;-0,03;-0,1
Ninth Edition;Persecute;FALSE;0,3;0,27;2;-0,03;-0,1
Odyssey;Blazing Salvo;TRUE;0,3;0,27;9;-0,03;-0,1
Planeshift;Sparkcaster;TRUE;0,3;0,27;10;-0,03;-0,1
Planeshift;Strafe;TRUE;0,3;0,27;6;-0,03;-0,1
Urza's Destiny;Lurking Jackals;TRUE;0,3;0,27;8;-0,03;-0,1
Urza's Legacy;Viashino Cutthroat;TRUE;0,3;0,27;2;-0,03;-0,1
Weatherlight;Tariff;FALSE;0,3;0,27;6;-0,03;-0,1
Legends;Dwarven Song;FALSE;0,5;0,45;11;-0,05;-0,1
Legends;Quagmire;FALSE;0,5;0,45;5;-0,05;-0,1
Revised Edition;Elvish Archers;FALSE;0,5;0,45;1;-0,05;-0,1
Shadows over Innistrad;Always Watching;FALSE;0,5;0,45;8;-0,05;-0,1
Conflux;Nyxathid;TRUE;3,8;3,42;8;-0,38;-0,1
Gatecrash;Gift of Orzhova;TRUE;3,8;3,42;10;-0,38;-0,1
Worldwake;Death's Shadow;FALSE;8,46;7,61;8;-0,85;-0,100472813
Dissension;Proclamation of Rebirth;TRUE;6,76;6,08;5;-0,68;-0,100591716
New Phyrexia;Torpor Orb;TRUE;5,92;5,31;8;-0,61;-0,103040541
Conflux;Ethersworn Adjudicator;FALSE;1,26;1,13;3;-0,13;-0,103174603
Magic Origins;Erebos's Titan;TRUE;1,26;1,13;8;-0,13;-0,103174603
Rise of the Eldrazi;Wall of Omens;FALSE;1,26;1,13;20;-0,13;-0,103174603
Unhinged;Bosom Buddy;TRUE;1,26;1,13;3;-0,13;-0,103174603
Commander 2014;Freyalise, Llanowar's Fury;FALSE;8,03;7,2;8;-0,83;-0,103362391
Starter 1999;Piracy;FALSE;8,03;7,2;8;-0,83;-0,103362391
Planar Chaos;Magus of the Bazaar;TRUE;4,22;3,78;2;-0,44;-0,104265403
New Phyrexia;Surgical Extraction;FALSE;16,08;14,4;8;-1,68;-0,104477612
Classic Sixth Edition;Ashen Powder;FALSE;0,67;0,6;2;-0,07;-0,104477612
Mirrodin Besieged;Consecrated Sphinx;TRUE;38,09;34,09;2;-4;-0,105014439
The Dark;Mana Vortex;FALSE;16,08;14,38;3;-1,7;-0,105721393
Dissension;Azorius Signet;TRUE;8,46;7,56;9;-0,9;-0,106382979
Amonkhet Invocations;Maelstrom Pulse;FALSE;42,32;37,8;2;-4,52;-0,106805293
Portal: Second Age;Denizen of the Deep;FALSE;1,68;1,5;2;-0,18;-0,107142857
Eventide;Talara's Battalion;FALSE;1,94;1,73;7;-0,21;-0,108247423
Planechase Anthology;Shardless Agent;FALSE;2,11;1,88;20;-0,23;-0,109004739
Guildpact;Quicken;TRUE;3,8;3,38;4;-0,42;-0,110526316
Dark Ascension;Immerwolf;TRUE;2,53;2,25;7;-0,28;-0,110671937
Dragons of Tarkir;Zurgo Bellstriker;TRUE;2,53;2,25;7;-0,28;-0,110671937
Gatecrash;Thespian's Stage;FALSE;2,53;2,25;8;-0,28;-0,110671937
Mirrodin;Promise of Power;TRUE;2,53;2,25;8;-0,28;-0,110671937
Mirrodin Besieged;Creeping Corrosion;TRUE;2,53;2,25;1;-0,28;-0,110671937
New Phyrexia;Melira, Sylvok Outcast;FALSE;2,53;2,25;8;-0,28;-0,110671937
Portal;Summer Bloom;FALSE;2,53;2,25;1;-0,28;-0,110671937
Tenth Edition;Rootwater Matriarch;TRUE;2,53;2,25;1;-0,28;-0,110671937
Theros;Fleecemane Lion;TRUE;2,53;2,25;5;-0,28;-0,110671937
Magic 2012;Royal Assassin;TRUE;1,26;1,12;3;-0,14;-0,111111111
Mirrodin Besieged;Treasure Mage;TRUE;1,26;1,12;1;-0,14;-0,111111111
Mirrodin Besieged;Tezzeret, Agent of Bolas;FALSE;14,38;12,78;8;-1,6;-0,111265647
Planechase;The Aether Flues;FALSE;1,52;1,35;14;-0,17;-0,111842105
Odyssey;Haunting Echoes;TRUE;3,38;3;5;-0,38;-0,112426036
Fate Reforged;Temur Battle Rage;TRUE;5,07;4,5;1;-0,57;-0,112426036
Portal: Three Kingdoms;Kongming's Contraptions;FALSE;5,07;4,5;1;-0,57;-0,112426036
Seventh Edition;Delusions of Mediocrity;TRUE;5,07;4,5;5;-0,57;-0,112426036
Dragons of Tarkir;Atarka's Command;TRUE;10,15;9;8;-1,15;-0,113300493
Modern Masters 2017;Voice of Resurgence;FALSE;10,15;9;8;-1,15;-0,113300493
Return to Ravnica;Sphinx's Revelation;TRUE;10,15;9;8;-1,15;-0,113300493
Invasion;Planar Portal;TRUE;12,69;11,25;8;-1,44;-0,113475177
Journey into Nyx;Mana Confluence;TRUE;12,69;11,25;1;-1,44;-0,113475177
Conspiracy;Brainstorm;TRUE;15,23;13,5;17;-1,73;-0,113591596
Portal: Three Kingdoms;Cao Ren, Wei Commander;FALSE;15,23;13,5;3;-1,73;-0,113591596
Amonkhet Invocations;Forbid;FALSE;25,39;22,5;1;-2,89;-0,11382434
Invasion;Treva, the Renewer;TRUE;25,39;22,5;3;-2,89;-0,11382434
Modern Masters 2017;Tarmogoyf;TRUE;126,98;112,49;6;-14,49;-0,114112459
Legends;In the Eye of Chaos;FALSE;76,19;67,49;7;-8,7;-0,114188214
Journey into Nyx;Eidolon of the Great Revel;TRUE;25,39;22,49;8;-2,9;-0,114218196
Khans of Tarkir;Stubborn Denial;TRUE;10,15;8,99;4;-1,16;-0,114285714
Urza's Legacy;Miscalculation;TRUE;10,15;8,99;1;-1,16;-0,114285714
Fourth Edition;Winds of Change;FALSE;5,07;4,49;2;-0,58;-0,114398422
Gatecrash;Borborygmos Enraged;TRUE;5,07;4,49;2;-0,58;-0,114398422
Ninth Edition;Utopia Tree;TRUE;5,07;4,49;8;-0,58;-0,114398422
Seventh Edition;Daring Apprentice;TRUE;5,07;4,49;4;-0,58;-0,114398422
Innistrad;Kruin Outlaw // Terror of Kruin Pass;TRUE;2,53;2,24;2;-0,29;-0,114624506
Mercadian Masques;Extortion;TRUE;2,53;2,24;2;-0,29;-0,114624506
Nemesis;Blinding Angel;TRUE;15,23;13,48;4;-1,75;-0,114904793
Commander's Arsenal;Edric, Spymaster of Trest;FALSE;2,95;2,61;8;-0,34;-0,115254237
Innistrad;Mayor of Avabruck // Howlpack Alpha;TRUE;2,95;2,61;1;-0,34;-0,115254237
Khans of Tarkir;Sarkhan, the Dragonspeaker;TRUE;5,07;4,48;8;-0,59;-0,116370809
Legends;Chains of Mephistopheles;FALSE;355,56;314,1;6;-41,46;-0,116604792
Eighth Edition;Fallen Angel;TRUE;10,15;8,96;2;-1,19;-0,117241379
Magic 2013;Jace, Memory Adept;TRUE;10,15;8,96;5;-1,19;-0,117241379
Conspiracy;Pernicious Deed;TRUE;20,31;17,91;8;-2,4;-0,11816839
Journey into Nyx;Pharika, God of Affliction;FALSE;1,94;1,71;5;-0,23;-0,118556701
Magic 2014;Scourge of Valkas;FALSE;1,94;1,71;8;-0,23;-0,118556701
Mercadian Masques;Battle Squadron;TRUE;2,53;2,23;7;-0,3;-0,118577075
Mercadian Masques;Silent Assassin;TRUE;2,53;2,23;1;-0,3;-0,118577075
Battle for Zendikar;Sanctum of Ugin;TRUE;2,95;2,6;5;-0,35;-0,118644068
Dark Ascension;Predator Ooze;TRUE;2,95;2,6;5;-0,35;-0,118644068
Dark Ascension;Huntmaster of the Fells // Ravager of the Fells;TRUE;29,62;26,1;2;-3,52;-0,118838623
Magic 2011;Brittle Effigy;TRUE;0,84;0,74;7;-0,1;-0,119047619
Innistrad;Swamp;TRUE;0,67;0,59;7;-0,08;-0,119402985
Innistrad;Swamp;TRUE;0,67;0,59;7;-0,08;-0,119402985
Innistrad;Swamp;TRUE;0,67;0,59;7;-0,08;-0,119402985
Ninth Edition;Blaze;TRUE;0,67;0,59;3;-0,08;-0,119402985
Odyssey;Concentrate;TRUE;0,67;0,59;1;-0,08;-0,119402985
Seventh Edition;Fugue;TRUE;0,67;0,59;6;-0,08;-0,119402985
Mercadian Masques;Ancestral Mask;FALSE;0,25;0,22;1;-0,03;-0,12
Commander 2017;Nazahn, Revered Bladesmith;FALSE;0,5;0,44;8;-0,06;-0,12
Guildpact;Quicken;FALSE;0,5;0,44;4;-0,06;-0,12
Starter 1999;Exhaustion;FALSE;0,5;0,44;4;-0,06;-0,12
The Dark;Gaea's Touch;FALSE;0,5;0,44;18;-0,06;-0,12
Limited Edition Alpha;Clockwork Beast;FALSE;122,75;107,99;1;-14,76;-0,120244399
Magic 2013;Boundless Realms;TRUE;5,07;4,46;4;-0,61;-0,120315582
Khans of Tarkir;Siege Rhino;TRUE;3,38;2,97;7;-0,41;-0,121301775
Antiquities;Transmute Artifact;FALSE;97,35;85,5;20;-11,85;-0,121725732
Shadowmoor;Boartusk Liege;TRUE;8,46;7,43;8;-1,03;-0,121749409
Archenemy;Rotted Ones, Lay Siege;FALSE;0,41;0,36;5;-0,05;-0,12195122
Avacyn Restored;Blessings of Nature;TRUE;0,41;0,36;7;-0,05;-0,12195122
Battle Royale Box Set;Subversion;FALSE;0,41;0,36;2;-0,05;-0,12195122
Commander 2016;Ethersworn Adjudicator;FALSE;0,41;0,36;8;-0,05;-0,12195122
Fate Reforged;Wild Slash;TRUE;0,41;0,36;15;-0,05;-0,12195122
Invasion;Blinding Light;TRUE;0,41;0,36;10;-0,05;-0,12195122
Legends;Primordial Ooze;FALSE;0,41;0,36;20;-0,05;-0,12195122
Legends;Silhouette;FALSE;0,41;0,36;5;-0,05;-0,12195122
Magic 2015;Generator Servant;TRUE;0,41;0,36;3;-0,05;-0,12195122
Nemesis;Rusting Golem;TRUE;0,41;0,36;5;-0,05;-0,12195122
Odyssey;Demolish;TRUE;0,41;0,36;1;-0,05;-0,12195122
Odyssey;Lithatog;TRUE;0,41;0,36;2;-0,05;-0,12195122
Odyssey;Nomad Stadium;TRUE;0,41;0,36;1;-0,05;-0,12195122
